Prefecture_Code,Price,Demand
JP-01,0.0,5236294.949646431
JP-02,0.0,1242064.3774388644
JP-03,1.0669459104537964,1204282.4676902855
JP-04,0.7011758089065552,2297336.448928893
JP-05,2.2692196369171143,955462.47720881
JP-06,2.2067363262176514,1083216.0188949483
JP-07,0.0,1821605.1923911604
JP-08,0.48074066638946533,2861355.3321451233
JP-09,1.4181056022644043,1922365.3114138406
JP-10,0.0,1925444.2690447082
JP-11,0.0,7313725.062067179
JP-12,1.7770613431930542,6238715.023339014
JP-13,1.41585111618042,13928365.410950286
JP-14,0.0,9201204.157859406
JP-15,0.0,2208329.130897135
JP-16,0.3624277412891388,1044658.8183852243
JP-17,1.0261844396591187,1133838.5779086784
JP-18,0.5961102247238159,756935.7831556518
JP-19,0.0,800384.0574136622
JP-20,0.8990538120269775,2043289.983586244
JP-21,0.21740704774856567,1969384.0540114446
JP-22,0.0,3670092.013609863
JP-23,0.6316409111022949,7547256.3602329055
JP-24,0.0,1781686.2742329382
JP-25,0.37905773520469666,1392112.6725261253
JP-26,0.8170768618583679,2546642.2074023755
JP-27,0.0,8810638.917111509
JP-28,1.904535174369812,5416903.449236218
JP-29,0.20584902167320251,1289732.0085320869
JP-30,0.0,925885.8420106278
JP-31,1.1632765531539917,537326.4887415259
JP-32,1.3064640760421753,651440.2276761922
JP-33,0.0,1852549.8393463104
JP-34,2.7619638442993164,2762978.64917589
JP-35,0.0,1348380.4823970988
JP-36,0.020486757159233093,694835.1264267822
JP-37,0.0,931820.7566046609
JP-38,1.7298989295959473,1345305.909498361
JP-39,0.6629378795623779,682985.8471323325
JP-40,1.009777307510376,5038504.871790547
JP-41,1.1182430982589722,792441.1289617859
JP-42,0.0,1262920.6438367995
JP-43,0.0,1700885.2711002445
JP-44,0.0,1110089.4670533668
JP-45,0.8788871765136719,1047606.3853530497
JP-46,1.4245272874832153,1568240.8345962223
JP-47,0.0,1434909.4054069705
